9436 26848
8074 7985 -142
4786 8786 603
4220 8866 595
968 334 744
1248 926 185
206 5336 -861
3267 7464 590
7167 3935 594
6062 8961 -578
8592 195 -132
6832 628 466
3447 4271 -351
8004 4022 -508
3031 1464 621
6333 2687 695
3621 7527 26
3118 4974 -902
9261 5516 685
2862 207 393
4893 5762 -250
9232 4193 -710
7297 654 986
7549 9434 -528
542 6845 -619
9427 8410 -524
9150 9370 -645
9143 585 -894
5737 7379 527
222 1039 503
2349 8519 -899
2855 7746 -786
8967 373 -64
283 4523 -83
8338 7537 141
2504 2179 -344
6136 8072 497
1341 5183 587
8910 2905 -55
8162 6602 725
2613 9104 219
7237 758 -869
7789 846 34
3840 2929 132
5785 2553 -406
7574 8850 -266
5927 3094 135
9317 8336 -568
1762 3472 343
5749 9046 -984
5400 6667 -731
4648 5369 -75
8360 8975 -453
4885 2244 843
1081 6484 97
4946 5052 -35
8490 8947 -296
4661 3900 475
7129 2987 200
1383 6488 -570
6534 1095 -997
8905 2986 -140
1992 4765 573
2667 3517 -367
2095 6786 712
4392 7787 -829
3130 7460 529
3147 2819 844
2330 985 18
5284 4475 756
6518 3358 475
7182 2940 651
241 1565 823
4910 4315 792
3510 5431 961
7372 8389 -769
5289 1217 -775
9329 1212 944
1917 3752 -945
3164 9312 -501
7900 4054 -489
8424 2863 -670
5959 7987 610
225 1593 -425
2788 244 -99
7780 5109 -893
2269 3093 -248
1569 65 314
8963 3899 -344
5523 8876 760
1400 5922 -748
444 1215 -242
913 6188 351
4465 6991 60
386 6837 881
8016 2247 -786
3420 3999 -605
721 2858 -488
5148 5923 284
5170 348 225
2414 4325 584
2679 1461 228
5536 9280 627
4457 4766 -345
1497 5986 -864
5294 34 853
8007 1952 296
6444 2897 310
8759 8107 -147
516 3048 -513
549 5932 659
4160 6075 -228
8237 2243 808
2181 7050 150
5783 4609 768
7809 5691 -394
8776 9354 489
4119 2729 -167
9148 5631 227
2836 3823 433
4940 9133 425
9050 5290 105
978 9124 593
5659 1010 161
1371 693 44
4143 178 -766
5135 5330 858
8749 3226 -37
1450 7936 688
3105 4510 -852
3230 5864 -517
3925 176 -826
3308 6947 -17
8982 2206 513
6529 2061 438
4508 6924 -802
3432 241 -296
1405 4350 668
8668 2046 -172
3208 8975 66
7460 503 -770
2501 3800 -319
7132 929 -406
5014 4109 -744
7350 7381 -920
539 7210 -57
4266 3653 321
1410 1046 -854
8214 6163 385
5782 2472 -119
8585 5625 -906
6024 495 938
4967 5399 -944
6161 8530 -753
738 9083 824
5680 8606 826
2199 2514 467
7759 7219 -927
4121 9088 -281
8228 1683 -468
5883 9214 -619
369 5685 306
6070 4419 94
1058 7446 -941
6198 1670 60
5557 3332 -819
8298 3217 45
4944 8330 -750
6990 8303 -963
6941 2801 -136
475 4685 175
495 8083 -322
4319 2727 597
4090 6669 -376
1598 6095 284
8956 5010 403
393 5207 767
6030 476 343
2959 3531 949
7757 2909 -122
8766 2628 334
4054 7628 736
5175 7686 982
2737 4405 -852
220 5425 19
8670 7582 402
9318 5974 698
5096 9428 24
1910 7447 814
7641 9188 -753
3897 3998 754
164 6463 747
7685 1341 966
5201 256 295
2670 2110 -790
4043 8450 844
238 496 741
4844 7446 -917
542 1819 -186
4264 8786 228
7690 686 458
1605 8858 943
662 8366 -519
885 7900 -777
2067 201 690
8509 642 940
9181 7290 -559
8303 793 -305
730 3714 644
1072 8307 251
427 1521 88
6589 7695 -837
6245 4351 -882
3183 132 -585
6549 3918 -190
5513 6926 -781
5317 7854 -258
4618 4472 -250
325 8215 -489
2147 9412 934
580 5824 314
810 4967 -272
7557 1542 -89
3208 3711 861
2012 3002 -417
477 1674 517
6970 8113 377
3730 5916 327
2932 7634 -753
8284 7333 351
5323 7754 -898
542 6001 -950
1609 4450 6
5994 4485 416
8413 4819 283
460 6949 -682
4675 1294 -844
1832 599 789
9015 3417 -779
3860 6211 -917
5210 2381 -88
127 8283 212
8134 7844 730
3391 2021 47
746 681 749
1386 196 880
2757 5033 -27
1231 6387 -6
3288 3818 -976
1919 7744 673
1364 901 -897
6555 3748 -990
1597 5935 -285
4711 7665 179
2980 624 -532
2343 5158 -81
3517 5819 735
1394 1993 -43
2249 7710 -9
5474 8896 762
3074 6364 -556
4864 6551 -701
8741 7909 570
212 1398 495
6705 6908 572
5761 919 -37
4928 2241 390
30 2537 -129
2467 3369 149
7877 2544 -223
958 5429 796
1860 1642 761
3736 1748 -291
7978 4497 -558
7030 1335 -506
1224 8949 -212
4772 7562 -432
1931 7518 674
3020 7969 871
3025 5346 836
8438 4916 -146
3445 741 647
2018 3571 -532
432 5672 -371
3392 1717 -311
5306 7397 -852
6765 4169 -66
4685 6868 730
682 1035 -680
3515 376 747
2339 4063 958
3629 5165 -311
581 7158 -675
1738 8479 284
2403 9057 12
7526 1940 -846
429 6325 305
478 7466 -461
594 8746 787
2522 2195 -733
3604 709 417
269 4650 393
7960 8041 -733
2003 4842 -940
8986 7766 -162
1483 5141 708
5634 5092 -114
9394 2879 228
9138 308 -170
2239 6780 -346
4717 9301 -52
5665 3585 704
3105 546 -637
8338 5187 -283
3194 2630 207
5452 7585 194
6020 4543 294
3470 1631 -602
5277 1600 614
2089 6586 382
3251 4971 68
3423 6495 256
1056 1954 905
8455 8137 996
8827 5365 968
7787 6951 77
3553 1580 -589
6280 971 217
2959 2591 227
7901 2334 -872
704 1258 541
9348 3342 -648
7039 1290 337
6889 3295 255
1927 3763 -954
9161 315 855
9367 3424 82
1740 4045 -154
4373 5732 13
5070 6468 -495
7434 8291 -49
9016 331 -355
5264 8997 658
1349 2165 192
953 4251 559
4296 6276 472
6394 4496 448
5090 9231 -431
2021 3529 -190
2503 1201 989
955 6342 455
8967 984 -604
7790 6482 778
6152 8145 74
9382 8667 -199
1396 8423 -974
3025 4143 -236
5081 6832 -994
3654 4093 -730
3631 6003 -624
7633 2405 -804
8911 1322 -874
843 8919 -786
8747 3435 759
3492 7333 -151
4872 8306 -87
1949 7291 -280
987 9008 -552
1139 4260 -927
7229 576 531
4977 1755 605
753 8694 413
8314 7390 -372
3764 5870 -890
8631 7252 182
8781 3961 569
6654 3955 888
4051 6801 475
6881 6520 299
4584 3247 811
1790 3171 925
9423 2462 972
8561 8883 -679
6205 656 221
1253 4389 -633
1623 8257 166
8472 9279 293
3784 4656 77
6978 7166 851
5971 4664 233
152 6420 513
9373 2296 -543
3672 1142 -719
4547 2376 -665
6915 2915 586
2000 983 800
7757 4230 -853
2 6077 440
4722 1972 -329
5836 6341 757
4665 9257 320
4388 9005 248
5126 8687 -591
1976 8965 -456
5158 2481 -650
79 1843 -410
8826 7065 881
5147 4244 -294
811 4618 -20
6409 1557 -90
3611 6624 87
5807 4937 38
4056 938 877
3559 538 500
1528 4197 950
7313 4637 -199
9178 5297 -405
6006 8958 462
2529 6367 -460
2433 8942 533
6476 2678 -386
7820 585 -596
6709 1254 358
1647 1238 555
7341 8224 -903
5820 3484 -349
8474 7142 741
5109 196 47
1090 2686 -250
4073 6917 122
5705 2433 -716
6961 6841 -68
7828 2282 842
6027 1737 218
9404 6601 40
6097 5198 139
2464 8101 -986
4888 7682 -850
5471 5453 -420
1435 3841 -416
674 8320 -356
195 7315 158
7309 7792 376
6565 3301 -548
7401 7579 287
323 8069 -79
7849 2165 -641
2923 3072 -474
1619 9420 -600
2044 8031 -754
5461 1656 -513
2978 6223 760
490 9236 699
7042 2321 -497
2380 1021 155
7126 6885 -227
8073 9261 -185
9191 4342 -356
2787 8277 -733
377 3390 -451
5953 6675 312
1045 6801 -607
4847 2523 767
6457 6871 -464
9016 3109 -546
2630 3877 -401
5767 7173 648
7949 3067 -406
4428 2966 574
3020 5635 -752
6523 5885 -967
8339 3848 -881
6990 2556 -340
3984 2477 412
354 141 751
5297 9121 -880
5139 223 -315
7965 6251 638
7289 1052 -71
6272 7554 -955
1336 1705 786
7935 4101 -80
1182 2506 321
5004 4333 509
4939 8642 -671
7233 3547 303
3658 7607 2
8394 1117 154
5510 3650 -389
2521 8723 -561
966 4211 358
6799 1592 -390
977 6322 668
8157 248 -876
686 8355 -578
5287 8519 -190
2303 9308 680
4203 8977 656
1856 1552 189
6099 3848 489
1508 2552 416
1491 143 -521
1187 5820 -258
340 6338 -264
7946 5547 -841
3278 1929 531
8232 6229 250
6930 8819 271
8602 1818 627
8467 8273 532
7355 4132 397
165 5097 987
5277 5641 423
8892 3478 199
6498 4948 247
8038 3581 253
1817 3316 156
4182 8582 987
7315 8392 815
6100 6318 -169
6395 7776 -276
4270 1899 -301
7889 4933 52
951 1502 -68
5827 7138 371
2004 7938 957
4685 5489 -163
7975 8624 920
2271 1381 -459
6100 1954 -169
84 3474 -23
1572 3790 -388
1035 3035 306
5677 3212 -721
5876 8420 852
7107 3617 -531
1554 7395 -133
1167 9048 362
9125 8123 134
7494 323 -509
3882 5266 -215
2113 5642 424
1292 1271 276
916 6234 -367
9398 7867 152
5522 2450 400
7032 7131 -283
7705 5876 -717
9417 8461 -386
2773 1954 422
2837 276 927
7678 765 761
258 7164 -435
1499 1906 752
660 6112 98
4400 2818 881
912 4714 -392
8725 1736 -839
4387 426 -712
7188 6864 329
1494 9273 -963
6278 2993 720
7721 2786 -402
8599 2609 301
7079 2749 530
2161 2195 -772
271 8194 879
2908 4582 442
2114 7535 -401
7507 2416 649
1268 3114 797
3551 5482 64
2435 5552 663
8611 4870 -624
270 8816 -550
145 4450 -767
1187 1838 -647
7500 2571 972
1741 2222 481
5920 3548 -198
4321 7559 -36
3028 8763 -224
4693 4697 -519
3374 3485 -48
2854 4267 588
4066 1251 -993
2191 6626 487
8526 918 -857
1124 2489 379
8001 4773 377
7421 5492 -691
3776 6461 753
1474 5073 -184
668 7548 -796
6122 3425 753
1162 1970 384
8696 5131 -94
6433 3121 -177
240 2824 788
1765 1046 -462
5146 7924 -705
2449 815 658
9237 3150 -249
8812 937 468
8679 3574 -802
6025 642 280
4381 1457 -524
708 8619 -5
2833 8332 -818
274 1074 -687
3997 8331 -981
9193 2630 162
2808 234 798
7135 3514 815
5194 1189 -278
4218 6359 237
4929 343 770
1397 6211 -3
8134 806 836
5114 3382 79
4964 6767 -947
4339 8903 -234
1663 1233 -471
5235 8796 361
7215 3013 887
8335 4678 -524
2082 390 -996
388 6894 778
5610 3715 827
1974 8382 -75
906 4469 512
3461 41 826
7022 6745 505
9125 3955 60
8337 4930 -875
7994 5188 61
1694 8429 -858
7342 2131 -663
2740 7894 31
2533 7540 606
4749 5671 -714
8199 6637 -833
9176 507 -496
3772 8768 54
7266 3565 105
968 4081 -127
3972 1283 373
3432 7129 -996
1112 9321 -342
1507 6831 446
2583 229 783
6503 5962 -517
4240 7530 675
2410 9160 -995
669 3479 -958
3671 8420 -905
1041 32 76
7220 3692 917
3497 883 -798
5743 7100 -279
2476 1553 -824
7863 5628 -43
7804 5858 -971
1646 4484 809
5413 2798 -729
8767 2912 -80
4323 6291 19
1541 1577 -726
2956 6610 966
8837 5536 -561
1504 5051 877
5750 2538 890
1390 8632 394
6290 7200 -900
4583 4467 -802
6421 4124 -610
5227 226 882
2739 1812 -647
9297 1864 859
7502 8216 249
6464 5172 143
2295 7579 -898
3251 8017 -810
3262 1436 -259
134 4682 99
8999 8454 -629
3917 2645 98
5842 2154 -247
1409 9142 -505
5957 7983 -973
6309 8563 -911
5415 9062 -138
3838 637 658
2070 7954 -636
7791 7881 833
6966 4438 -364
5970 6241 -4
255 6865 -99
712 5030 -313
7062 7697 475
760 4485 -734
5047 5700 -772
5561 7297 42
2792 8989 -868
2276 3099 386
3334 8822 -342
3758 4854 837
1814 7217 -358
7378 6285 -841
296 2741 -713
7567 8629 -715
8429 2276 203
1367 9144 793
5752 8300 -731
6139 2888 -54
5812 6252 712
3515 5395 -418
7626 5354 664
1918 586 165
9093 6858 -831
1059 3211 126
7657 2537 -825
6210 183 260
6598 1726 -350
6728 1031 494
4435 9067 607
6017 1715 -106
3110 2271 -949
2363 1155 -529
2155 3784 -522
8731 2114 738
2003 6801 -112
6013 3069 -139
9182 4970 940
7344 6362 673
3080 4130 -460
2922 4111 166
974 7178 -117
5593 2551 -677
5184 7553 567
6027 1231 227
9199 4939 -417
6296 8650 489
6263 3926 -851
1877 3375 -218
1456 2276 -863
3117 3811 363
481 7781 -902
2894 5743 -273
6168 2047 954
234 4170 397
5457 7231 243
2524 6166 -639
7254 8231 426
4955 5330 -441
2603 6448 -516
642 6703 -297
3983 3227 652
6144 5906 -524
4555 3383 644
5469 1237 46
2917 3436 159
5828 4819 256
8697 8904 -518
1657 1571 170
8779 4909 151
8316 6205 281
1636 5983 -35
7708 4226 392
1112 4459 643
2415 2564 748
1974 88 -780
8705 7553 -962
2237 4850 -485
1848 8500 -397
7816 844 282
3274 1202 311
4305 7959 230
7384 3724 -529
1948 2277 -713
5888 1452 -208
4978 3419 581
4591 2467 17
6260 1046 474
8508 5433 773
2020 3228 903
2742 570 -287
1535 4643 -26
3825 1877 921
7674 6973 -103
1447 1573 -646
8210 3663 -213
3211 2870 416
7098 9209 418
6133 4352 108
576 8200 -194
8729 8849 673
745 4920 774
1337 6504 -190
4161 3292 425
157 6101 207
3269 6190 597
9302 2059 -572
6092 7919 662
6613 9203 339
86 2743 -863
8108 4784 297
3222 2222 947
5655 248 289
2583 7837 803
6714 4275 718
6112 5609 813
5315 5207 641
6891 5020 -33
4404 307 784
1748 7103 664
2077 8678 829
8359 8720 -96
2869 4510 -503
9038 4376 -977
7705 5294 744
6556 2529 215
7663 4629 -909
6594 4304 -100
9346 4937 -142
4852 196 -590
6518 5640 753
7786 1420 -38
8363 9170 188
3100 2259 553
6415 2419 740
7196 5687 887
376 4638 -579
3812 421 -299
601 6646 428
8587 7195 -953
2630 4437 -674
827 1101 567
7999 9226 -658
1545 8791 -750
9171 2356 335
8841 8030 -512
341 1983 548
3651 1341 266
2107 2802 974
8198 60 455
3711 695 -168
7641 1558 548
1487 5450 192
7993 3766 636
4801 6724 -359
4078 6206 501
9142 8563 61
987 6820 774
5968 6310 -149
6178 3256 665
7872 7705 52
4052 9325 986
416 7592 -784
5482 9282 -328
9153 7384 -789
7366 4121 -754
6819 6668 -876
7690 144 -724
4477 8176 575
9290 5153 793
7826 2027 -255
2547 2710 -700
7344 8859 -350
7453 1488 240
4369 1812 1000
8816 7327 -270
775 3223 -520
8182 372 729
6183 1872 76
3199 5668 -83
7745 1802 -780
6957 1133 854
1929 6270 249
1460 7663 711
8760 1963 -339
9057 5406 -542
8664 2041 861
263 4223 -909
9197 5781 702
5192 3672 890
5773 7677 212
3224 2118 -503
6418 9063 -711
2662 211 396
59 541 501
3746 4412 506
6614 5250 779
7643 6204 -242
4058 3299 854
8766 307 -507
634 3638 -380
2601 547 855
3089 394 -759
8115 2632 684
4404 3162 291
6655 8538 -410
996 3478 349
4972 6468 647
2368 1954 260
1386 4468 591
3298 5447 -399
1774 7172 699
7296 4564 479
5187 3710 89
5758 7954 -195
1169 7271 427
72 6285 916
4709 3582 -73
6183 5270 -413
5120 5313 -760
2464 3023 172
1107 7831 685
8881 1523 -447
2593 1485 198
6988 2359 736
291 2294 863
6520 1863 -54
4251 7681 54
8690 5336 -354
2776 7119 412
1198 3677 -816
2600 1675 603
695 8937 734
3340 4385 699
9364 8970 88
8556 1227 935
5964 2407 -233
3614 8049 779
4357 7962 -724
35 6179 -726
4890 8283 723
8017 8703 -521
5632 6283 965
8388 8950 877
1658 2429 64
5177 358 735
5395 2207 975
4361 2118 -352
3592 3541 936
5109 1118 -478
5657 2273 30
1097 9239 -58
5150 7589 102
3855 8606 374
8459 594 341
6777 4146 515
795 5532 -747
2993 8210 654
5347 5461 350
7725 5740 505
8504 4129 258
671 5476 -887
5943 3060 223
532 8497 -127
8631 7162 -313
217 4177 -324
1750 7140 -170
6471 5589 462
6421 2541 413
3832 2213 660
641 5852 -408
8486 9184 341
1216 479 -9
7968 3069 555
3092 1399 27
437 3554 -365
4853 5865 486
3449 5800 -612
6436 2444 887
502 2655 -898
1680 9106 -602
2082 609 -418
3536 6628 492
1601 7068 -326
5661 8522 -944
9080 407 300
3918 9047 258
7623 4188 818
6461 2865 -178
5887 8965 -798
3510 4749 462
6336 3610 967
1262 4442 -34
5855 6266 -18
1216 5058 524
3850 2197 -655
1396 8291 -980
5666 7211 5
441 2737 343
4077 496 -247
2425 4693 164
3584 3295 -202
7973 8555 428
3473 770 407
6363 6624 -509
1316 2364 -707
9103 5829 -809
1306 577 185
2585 4199 117
1567 9287 836
6600 4801 -212
4435 5907 923
2459 1569 -227
596 8555 -907
5566 3401 -915
2775 9070 844
7873 3792 294
5968 6152 773
4733 7083 -610
7279 8375 -428
490 8303 -725
2433 1236 -72
7898 8518 -885
5935 2838 331
4567 4107 -139
1716 4869 -683
6299 1320 -485
9422 6689 -203
6845 764 112
2913 965 -630
2183 9114 71
3336 3415 281
5626 3321 232
1625 9110 -186
870 5674 955
3948 8482 -403
5642 749 -480
4290 1017 -608
8030 816 -6
108 1814 231
4521 4915 3
9250 6492 -350
6684 3657 686
367 3819 491
1166 5342 -442
4675 185 243
5629 5946 -493
2932 9100 -367
8047 4020 -880
9023 3171 915
4029 6673 863
27 1788 -819
1777 2978 808
268 5259 -47
215 5368 842
931 6684 224
3162 3122 -862
5128 9085 -742
6850 8544 -230
3492 8708 787
9432 8714 858
2806 8986 -635
2691 1256 -864
6751 6460 -573
8496 6002 -868
7751 43 -199
718 3278 -669
8035 8871 -623
3499 3968 -822
1245 6625 -262
8839 8357 -501
3465 1423 995
4037 8931 700
5828 7540 857
2345 6566 511
5769 2541 -372
2125 1939 212
8030 8636 118
1851 8704 858
9214 900 245
3355 1892 656
625 4921 761
2446 7660 578
2299 1371 -923
1862 9242 88
7070 5387 -872
6487 4483 268
4399 4978 368
7727 6756 -35
1466 8196 717
2348 301 -857
3213 2599 -974
8032 2150 396
905 1744 -344
7908 6355 -886
2720 3952 -236
9102 3989 -57
5457 5361 -220
3430 620 366
5246 4036 9
5566 421 -41
2374 5828 -663
4038 2953 -423
8829 4423 -19
7711 7598 -505
8863 3018 -736
4610 5018 799
280 4348 -732
4719 1114 -749
5678 1483 780
3809 8654 -732
3147 4419 -680
1515 7905 458
3470 5202 173
8466 3280 522
8633 1267 670
2721 3270 798
1807 7096 -299
4105 985 -919
662 6918 261
2715 6560 -235
584 2557 668
4094 1184 -380
3956 7845 -610
8611 2228 -863
4940 9435 -518
776 4091 50
5256 3680 342
7414 8536 -28
178 6884 -765
7837 9250 -632
7357 1781 -329
4583 2856 -587
5031 8665 -884
4338 333 -344
942 5912 328
1507 1644 -107
5441 4403 754
9217 1501 -986
6661 6205 753
9066 2622 -123
5789 352 916
7167 128 -548
4449 8191 473
8555 8873 -768
4115 6140 -962
6515 6246 -616
976 6075 550
8498 2544 887
7441 8769 29
7350 2173 -10
6437 4802 -879
439 7022 872
8373 3358 -927
8208 7694 -277
8043 5832 412
6460 5437 810
1741 5869 238
3371 4784 684
3737 7687 -688
1150 5142 -530
8418 231 -852
5184 7432 653
4198 7394 -476
6609 3117 983
5655 3096 170
2159 5241 -136
3859 2492 -829
3551 8685 823
8784 2032 144
2561 4712 584
2028 3986 268
4267 8908 283
5708 1874 879
2819 2816 320
2010 6794 -20
7664 60 313
6635 8138 602
9359 6294 -659
4509 2339 -209
8110 4290 -458
8277 5764 -335
7222 3064 -201
6394 6609 418
8556 5997 -270
3547 804 661
886 8919 -631
5701 2278 819
5724 1625 730
31 4734 849
6044 3685 -870
8439 855 -807
8087 1213 -776
2908 8702 -340
5942 6084 -634
6837 3299 993
2280 4660 218
6219 1983 949
1311 2050 -497
2762 3061 238
752 4329 -781
1151 4818 238
7456 8550 -906
8480 6212 -529
6562 6156 -593
4799 3782 865
7737 4243 -882
5750 3852 -830
65 5228 -918
1118 3545 73
7135 4924 -685
7292 5306 135
1337 7095 164
4406 2162 -238
4614 7953 -842
1646 8915 -474
4665 1312 218
3628 2004 595
1958 6500 -673
1833 4138 662
8764 8723 338
4442 6247 -133
6453 336 57
2702 7859 471
1699 2335 334
7991 7721 121
129 5965 -876
2048 592 314
8982 7930 -995
4781 797 449
5977 5354 767
4836 4751 -477
7976 6272 424
2717 9228 -457
6365 9299 791
2671 5613 502
5959 5099 -739
4629 1133 699
4124 4596 -200
3995 3086 -636
9129 3652 358
8737 2944 -816
1511 6503 535
8491 8722 220
233 1503 144
1515 5559 -514
5810 4254 93
3612 3078 -658
1255 6743 695
1995 3027 577
3408 4917 823
1621 908 -470
1187 6381 -390
5612 1556 607
4950 5216 823
5643 5284 -637
8538 8572 285
8488 5576 882
3218 3151 -924
3550 9376 -334
7375 238 187
4136 3914 49
6805 7113 -270
7720 7640 -517
6964 2288 252
5762 2359 -712
233 7832 -656
1450 1945 578
5534 8346 120
1944 7239 -451
2421 7925 291
6525 2100 -390
7430 8949 937
2275 8777 -204
4456 1221 591
6515 2717 -226
9157 1134 555
6906 6854 491
3611 8026 729
6762 1278 -962
1039 4935 -321
4950 3047 -585
4593 4751 -800
5952 8921 113
6128 3667 -801
361 1556 -903
8122 5507 660
3866 8171 27
2152 5490 750
8721 3191 331
8996 9030 -804
7707 8410 -919
8665 7827 262
2327 6929 -913
4864 6775 -588
7621 2307 -344
4809 7115 -481
7792 6020 512
942 5513 376
2528 3032 -150
745 3566 339
6748 1924 -91
441 2979 -794
7889 1573 749
8056 8976 616
5753 7706 -5
3851 3154 219
2027 7426 -840
4532 34 276
4955 3091 -478
8270 5989 628
620 449 -804
3434 290 676
8132 561 528
8694 95 -219
1057 1361 -506
2385 961 -438
7045 4230 -966
7346 2206 -181
418 1915 545
8756 8440 -275
3833 6814 785
8094 8435 -31
2787 6428 -820
5338 1049 -804
5763 7710 894
7071 6479 314
9353 5637 145
5273 2845 -611
641 2199 -258
2627 5097 124
3684 5461 396
5207 1188 93
8125 8371 375
3065 7159 -631
411 1615 404
8564 6982 137
7995 2896 260
6248 904 -904
9380 3373 805
2856 3421 -575
8983 5167 -922
5190 5533 -987
3249 7846 -620
8449 8976 -760
4845 2931 843
1784 7144 948
7623 832 -547
8019 2600 67
2717 5627 838
7315 3636 110
4294 2874 -124
774 4002 -539
7627 1010 413
759 2827 89
9404 3903 435
9381 303 -722
894 6560 210
1910 6377 -753
7211 9390 -878
2960 7176 884
8632 2243 162
1294 8716 228
3620 5268 309
8137 5447 914
8771 8761 -728
5238 8222 -90
705 1732 575
2816 7353 751
1240 525 -663
3044 1430 846
9178 5091 -807
5552 383 -63
2828 2052 -53
7662 7770 -700
4027 6181 -864
3967 425 796
4104 655 -689
4387 177 704
8296 367 -69
3149 5519 892
265 4738 -754
135 232 -806
5785 259 -648
3918 6792 -969
9088 1017 539
5902 8547 -34
8700 6991 788
521 534 201
6221 3461 -73
6945 4956 80
1505 8549 258
3670 8 -89
4548 4194 577
5444 8946 711
18 2131 309
3505 5445 2
4975 9041 -251
1246 6528 332
7869 8448 325
5892 2043 781
3778 511 79
4115 2782 602
4304 3165 -380
6028 735 803
1034 3903 -527
4879 5499 -326
4678 7537 -986
31 8260 787
8027 5189 -602
3254 4143 -607
2663 2970 154
3093 3342 9
1837 9124 263
5125 7886 -197
6056 1993 935
8933 3762 287
5763 2571 -725
117 3083 696
6917 7433 641
1842 8442 -568
33 3012 830
7096 8629 -171
4694 2822 -333
2604 3755 226
7725 641 -128
7488 7683 -184
2203 4402 -189
2748 5110 -375
3191 5155 170
4886 5807 639
6097 5512 -645
1315 199 -663
4484 1907 160
5006 931 -43
8603 2296 659
2018 7861 183
1741 2915 -492
7505 5421 -592
3297 4036 -398
1861 1105 -483
464 7994 10
5790 2828 900
6065 7499 -385
8047 6767 -713
686 5517 -94
8821 2821 -183
3805 5606 -248
8311 4824 -614
1347 4317 -872
9085 2769 377
1524 1694 616
8123 6952 -56
8917 67 -644
3074 7897 13
6462 1245 94
1668 8646 815
3783 8089 658
104 7112 -379
4498 1375 234
2168 2350 -53
4435 8778 -417
6464 664 715
4481 7917 -59
2691 1428 627
7982 1866 6
3198 7442 811
3611 6975 -916
1477 2667 124
6753 5381 961
6776 8383 -842
3102 65 909
6382 4425 114
7441 358 -433
1698 2215 -598
710 6241 -279
467 6249 765
6647 3371 35
627 7978 -329
3036 2871 -249
5745 8417 -657
8522 1049 -984
7137 2241 235
6823 5665 808
6628 2633 424
9252 844 -75
4564 6555 740
6753 929 787
2697 972 -600
6909 2957 -628
1268 3809 -545
3022 2662 -620
3729 8323 29
4667 4960 -73
8649 7589 784
6260 495 820
770 1257 -859
1622 3086 20
1397 7750 60
5281 1747 -451
700 6904 309
8614 847 -374
2518 1269 -692
585 5553 -133
4363 6250 318
1192 3870 581
1507 503 -105
9362 1730 -38
3031 1420 842
489 7211 315
5350 8757 -225
1087 6782 -687
2735 1102 805
532 6696 695
6907 4355 -486
2351 7417 131
1391 2991 -122
3361 8369 231
4319 8226 926
3609 1759 -979
5393 2355 -843
1136 757 770
7583 2218 -82
1563 9072 127
5720 2333 -186
5456 7898 -418
531 7780 -929
2673 7435 339
5917 3938 965
1083 3502 -194
7340 7406 -692
1034 2954 921
4532 346 99
7819 904 764
7831 5231 631
5887 765 -676
5412 5017 -251
422 9056 537
3615 2585 -580
4461 3163 -233
7286 1461 -263
788 48 -353
39 4281 540
8564 5402 -935
